timestamp,open,high,low,close,volume
2025-10-06 06:45:00,123988.8,124069.8,123806.3,123943.7,29.55890463
2025-10-06 07:00:00,123943.6,124025.4,123790.2,123995.0,46.63070382
2025-10-06 07:15:00,123995.0,124029.2,123829.7,123836.3,38.93130304
2025-10-06 07:30:00,123836.2,123839.5,123369.2,123433.6,145.04910657
2025-10-06 07:45:00,123433.2,123473.6,123280.7,123393.3,124.09187417
2025-10-06 08:00:00,123393.3,123684.2,123391.6,123633.2,83.87258819
2025-10-06 08:15:00,123633.2,123765.1,123570.9,123756.3,29.72199322
2025-10-06 08:30:00,123755.5,123857.2,123639.6,123660.3,51.14343588
2025-10-06 08:45:00,123660.3,123891.7,123650.9,123864.9,201.09674617
2025-10-06 09:00:00,123864.7,124077.4,123832.0,123946.7,365.50445861
2025-10-06 09:15:00,123946.7,123950.0,123806.7,123889.1,27.45303371
2025-10-06 09:30:00,123889.2,123911.6,123786.2,123798.1,24.75616396
2025-10-06 09:45:00,123798.1,124014.2,123774.2,123959.1,44.0619874
2025-10-06 10:00:00,123959.1,124105.9,123905.0,123951.9,30.15357317
2025-10-06 10:15:00,123952.0,124108.0,123906.6,124090.8,23.08172314
2025-10-06 10:30:00,124093.1,124109.9,124010.3,124073.2,13.40115192
2025-10-06 10:45:00,124076.0,124150.0,123961.6,123961.6,32.52055411
2025-10-06 11:00:00,123961.6,123992.7,123746.8,123746.9,53.98907547
2025-10-06 11:15:00,123746.8,124426.7,123735.6,124369.9,68.44559844
2025-10-06 11:30:00,124370.0,124556.0,124097.9,124289.0,95.7866917
2025-10-06 11:45:00,124289.0,124420.3,124189.4,124222.8,36.95980152
2025-10-06 12:00:00,124222.9,124527.9,124173.0,124425.7,80.10815568
2025-10-06 12:15:00,124425.7,124693.9,124365.6,124388.9,115.82273385
2025-10-06 12:30:00,124389.0,124471.2,124269.6,124344.0,53.28258882
2025-10-06 12:45:00,124344.0,124599.5,124336.8,124570.0,50.79742656
2025-10-06 13:00:00,124569.0,124826.9,124560.0,124703.5,74.78010923
2025-10-06 13:15:00,124703.5,124932.1,124556.9,124860.0,68.62814595
2025-10-06 13:30:00,124860.0,124982.6,124423.7,124571.4,137.50690134
2025-10-06 13:45:00,124572.0,125079.0,124400.2,125036.0,136.8019623
2025-10-06 14:00:00,125036.0,125348.0,124826.6,124980.7,210.32002145
2025-10-06 14:15:00,124980.7,125139.2,124545.3,124850.0,101.01958531
2025-10-06 14:30:00,124860.0,125062.5,124609.0,124742.7,66.06626908
2025-10-06 14:45:00,124742.8,124899.8,124300.0,124521.7,81.83028521
2025-10-06 15:00:00,124522.8,124747.9,124510.1,124733.0,22.90116043
